trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
69,Graph Attention Network,VirtualClassNode(),2.945569787987387,0.1218472021271566,0.001,0.0069185051975025,0.8997907074089577,0.3653518855571747,0.4395631670389675,0.1470146775245666,0.429653953018439,0.3702005909661702,,0.9730096459388732,0.5750522613525391,0.4172024300183458,0.2594415157286726
70,Graph Attention Network,UnidirectionalVirtualClassNode(),3.372114861686776,0.0145146562619216,0.001,0.004342558977778,0.7112599413980745,1.0481791496276855,0.6770910896003971,0.7745252847671509,0.6687294771406921,0.5956416392192081,,0.9081083536148072,0.6020219326019287,0.6640054521817581,0.415985462118655
71,Graph Attention Network,UnidirectionalVirtualClassNode(),2.189697097360173,0.039294268988252,1e-05,0.004965029490929,0.8133110087902888,0.5700278282165527,0.6845371059816332,0.4064547717571258,0.6761808537509472,0.6110081835685338,,0.953949809074402,0.5930545330047607,0.6741031251894668,0.4456761654558355
72,Graph Attention Network,UnidirectionalVirtualClassNode(),2.379602176085035,0.1171540136838162,0.001,0.0056278468524793,0.7810799497697781,0.6241278052330017,0.7034003474807644,0.4104832708835602,0.6915887850467289,0.6357427882918621,,0.9741488695144652,0.5993128418922424,0.6901616490059108,0.5179435339598679
73,Graph Attention Network,UnidirectionalVirtualClassNode(),2.504366608632008,0.0777113739759522,0.001,0.00427016822342,0.8198409376308079,0.4763715863227844,0.6971953338297344,0.2894119024276733,0.6908310179338216,0.6343565825706615,,0.9549938440322876,0.5635626316070557,0.6880438291929485,0.497805100904997
74,Graph Attention Network,UnidirectionalVirtualClassNode(),2.4950517297299672,0.0744737454739636,0.001,0.0042437647521632,0.8059439095856007,0.5265976190567017,0.7001737403822288,0.3387776613235473,0.694746148017176,0.6374625692483477,,0.9695757627487184,0.586166262626648,0.6934895827219926,0.4801314721905456
75,Graph Attention Network,UnidirectionalVirtualClassNode(),2.480680518283193,0.1342420334949027,0.001,0.0043481987835236,0.8223524487233151,0.4411632418632507,0.702903946388682,0.2540798783302307,0.6939883809042687,0.6389561446746163,,0.9607327580451964,0.5694981813430786,0.6922696227548079,0.4991155604857464
76,Graph Attention Network,UnidirectionalVirtualClassNode(),2.400509255283612,0.1481482589041311,0.001,0.0041553082851935,0.8021766429468397,0.5166923999786377,0.7043931496649293,0.3085596561431885,0.6927254357160899,0.6319725054305115,,0.9555649757385254,0.5777709484100342,0.6902355193053272,0.4763185958560274
77,Graph Attention Network,UnidirectionalVirtualClassNode(),2.671993494173845,0.1568289280571683,0.001,0.0035151055364315,0.7757220594390959,0.6311736106872559,0.6976917349218168,0.4374853074550628,0.6900732508209144,0.6329212840827142,,0.9650890827178956,0.603417158126831,0.6884942113392996,0.5001323085144244
78,Graph Attention Network,UnidirectionalVirtualClassNode(),2.3210858564514285,0.1312814753010162,0.01,0.003946380308291,0.5320217664294684,1.8266522884368896,0.6341523951352693,1.3388022184371948,0.6278100530436979,0.5476350972492119,,0.7899875640869141,0.5301259756088257,0.6216995179161503,0.3803439078043698
79,Graph Attention Network,UnidirectionalVirtualClassNode(),2.88838425454004,0.1862732309343597,0.001,0.003650081327905,0.8134784428631227,0.484465479850769,0.7014147431124349,0.2628293037414551,0.6965142712806264,0.6416783811899247,,0.953612506389618,0.5681726932525635,0.6946129151250371,0.4993568541542956
